seed,Cholesky,PCA,PCA-cor,ZCA,ZCA-cor
0,0.0879588120045245,0.11713006053193302,0.11330126594974636,0.08060792875239241,0.07825271641030462
1,0.08548052231691283,0.08351968555712778,0.0909504483402539,0.11733470333060919,0.11463094827864913
2,0.12122155298794936,0.1056032451395358,0.07120572600760967,0.11531977782377661,0.11388390118178675
3,0.1355479064242622,0.0958745249724521,0.0895195677023512,0.12319229266280411,0.12271386271435018
4,0.111615917537294,0.10700763867772452,0.12564003241098798,0.11833489808704899,0.11966713515433863
5,0.13223997522306766,0.12269604155650264,0.08939578087198123,0.0962039658873553,0.09086678578258482
6,0.08727347963965677,0.11803307290276166,0.08885897070977349,0.10246450062328971,0.11483862316308562
7,0.106735515974216,0.09848355604699037,0.1041498464152016,0.07761719166323676,0.07974462864748795
8,0.1172247928579897,0.09127131276954592,0.12519016338895514,0.11540219133631191,0.11864849386212889
9,0.10429978098566928,0.12219033789514445,0.11963871802797617,0.11870788933357089,0.1086378765737126
10,0.1259712425325865,0.12178121819565861,0.10319949422675297,0.12654905121587634,0.13034176684981438
11,0.0912775640262628,0.1260041107315962,0.11766302843729602,0.1305097916705846,0.12799449468436705
12,0.12014176032331103,0.09086113338298281,0.08205802245538597,0.12217344048310781,0.12661104195301123
13,0.12345935776652957,0.11620874923157132,0.1198108010045262,0.11209913364792846,0.12504257055688953
14,0.08967634565370447,0.11720488548879475,0.1320992187416494,0.12130181691987758,0.11688650382019855
15,0.12112252517548783,0.10970332113688237,0.11478679991470762,0.12106885857974554,0.11941710074813862
16,0.1124676040259794,0.12208931675992733,0.11593708466282533,0.09977111100239956,0.11046432881409218
17,0.08208682215667376,0.11183795343268395,0.10000127235165164,0.1143219891290493,0.12149511415333357
18,0.11325704833757803,0.11237626137024585,0.08967705415226433,0.1396997501147393,0.13272043982543127
19,0.12090636140928696,0.11109168930016984,0.1279595534192223,0.12275732127715817,0.1285012963290929
20,0.12281154947032474,0.12923648884846453,0.12773041818861444,0.10894458575761608,0.11802589760695091
21,0.11318366204654712,0.11464355995363716,0.10777172546841278,0.09894531897005428,0.09099163812097287
22,0.13069252819722282,0.1358059772760013,0.09932183210584326,0.09591403523618865,0.12217955215794483
23,0.1206993812231586,0.11877439494688191,0.11627271657152687,0.08480190223508222,0.11678848896364068
24,0.11948065767838849,0.11168415491535282,0.09820582797287546,0.1261187329396308,0.12371172366034211
25,0.10238026449433467,0.10879279558575361,0.1136368814676904,0.06274385628577445,0.07837338013812493
26,0.07603900167521642,0.10669243264647234,0.11588517675124459,0.12491412231569543,0.11591890440585749
27,0.12304943684458992,0.09024597055391115,0.12697195106216633,0.1118329161104114,0.07866544014387922
28,0.10059434102990207,0.08231816764731327,0.11450969619222356,0.11623861059341718,0.11835307721598907
29,0.09039680733764345,0.11318146104877591,0.11232629947772889,0.11578800965278398,0.12093288149570759
30,0.11657983987028835,0.12663411870617491,0.10423820948067075,0.09549985458585551,0.1028713218400497
31,0.09596699231354121,0.08571437551036663,0.10037049044196215,0.09319317100694861,0.08076250189586455
32,0.11782366375545446,0.11289578772760733,0.11345181025508555,0.1082122944003011,0.11631180125595329
33,0.13280731724576234,0.12538318990961628,0.10985673617141789,0.10893729827245906,0.11460869180805083
34,0.12735011654638628,0.10432520100807878,0.13117395138080623,0.11155874191014424,0.11493628126388633
35,0.09819214762750073,0.125531729786535,0.12375606013746275,0.13434990407349973,0.13482445366998866
36,0.11096015397260169,0.0893961320864999,0.08762570225744142,0.11865616290624274,0.12373346706829992
37,0.1242634393669385,0.132547059251723,0.10744791220443857,0.08470932990323914,0.11730393728250667
38,0.1242880304202904,0.11728305659719312,0.11867756681669346,0.12243637810150243,0.1278067544307612
39,0.12258098766241143,0.12254281020242674,0.12751126276705332,0.12382252444482233,0.12211657412019834
40,0.1174760918860987,0.11719480831200302,0.12500849868364153,0.12028807343935026,0.12196686559904817
41,0.11469956966426148,0.10550993007632693,0.09419246930408033,0.1373891747680353,0.13444904373788039
42,0.11322912845360428,0.11797641979765479,0.13128982629256977,0.12253579839353164,0.12437291764717813
43,0.12333733897014314,0.09786005065068648,0.11861039696642395,0.11216526801079774,0.11207291579983093
44,0.12762362394888885,0.09736463694553489,0.11944210471502555,0.12363125503796894,0.12565077723448945
45,0.11661103766010363,0.1196849248162951,0.10436871812831976,0.11930113056900508,0.11722669405404855
46,0.13189485172032991,0.11432293547619576,0.1282904762500426,0.12512594322476836,0.11959165960577939
47,0.08986655026686143,0.12703264922663426,0.08677675711900927,0.110773541468139,0.1126277284556552
48,0.08161281273353004,0.0802991402709411,0.1304348342111206,0.08637203188522745,0.0990991575478012
49,0.09207261759987616,0.12426851765623881,0.12764937862107398,0.09817954502513944,0.10519840171828602
50,0.11460759536368763,0.12317122237778148,0.10202209643079962,0.11342139820925722,0.11381150124744133
51,0.07988673962226746,0.11217262737862642,0.12507033736427814,0.11233888332316845,0.1222962101664084
52,0.09424958004426022,0.12068480560402717,0.1352685759249786,0.11935800521013433,0.1144438883347641
53,0.11681898795100627,0.11650854817798136,0.119992799317654,0.08539359890418512,0.09455163912737947
54,0.12228200825644621,0.0918819553974864,0.0873770276329644,0.10969745605861715,0.10882427554518441
55,0.11648571533387182,0.10092569984991721,0.08775996790696856,0.08838128240927984,0.09145208514441604
56,0.11048981708273709,0.10293953228693813,0.09714264099866603,0.11986194139089688,0.12221253163917828
57,0.13907283698859144,0.12198170874445695,0.12626047811823674,0.12276858696563238,0.12043554129173588
58,0.11778469379208194,0.12050420536634505,0.07714952511145796,0.13302608485456055,0.1341829309477409
59,0.09588656857094896,0.12920278742188754,0.12514676134237368,0.12149977300562258,0.10809634367305439
60,0.12663369750557293,0.12690754988912198,0.128318670567831,0.1266079530372675,0.13301373267273972
61,0.12241526528666398,0.11210348766487359,0.0936159238060084,0.07784132326558503,0.07173982499268854
62,0.11871421664996555,0.08596294046895298,0.12586124720057332,0.10855712584590144,0.08747321230519833
63,0.11972950855969056,0.0862356442149249,0.12443219359964143,0.11630939658688227,0.12423871685672588
64,0.089139292774628,0.1045735499403128,0.08994614559883789,0.11542444249173099,0.12423636944937742
65,0.11932057818253311,0.1180695021885439,0.12633126817900095,0.11120968667522707,0.11253418215680884
66,0.08830805245294222,0.11611204161301088,0.08062062718550167,0.12124852455696095,0.12551844449826238
67,0.12368971508429394,0.1241764133318148,0.11231868884823326,0.11994484029470444,0.11222412681410128
68,0.08348536199311564,0.12592737149360325,0.11806595751337816,0.12039378652141508,0.13039989145774894
69,0.09626076175109864,0.1253714973658927,0.10096067937898266,0.13849391073891915,0.12305528121873958
70,0.11899438092301558,0.08674880370095732,0.08074842698579877,0.0961748779726909,0.08115240592225202
71,0.12086512277694567,0.10069337397173293,0.10107521248707214,0.11218668166016203,0.11328239298546217
72,0.09602795016442243,0.08965473481028761,0.10947257406084754,0.11237280389280706,0.11472524034839411
73,0.07888206204598718,0.11966890237210666,0.10531410129801556,0.08361449662250148,0.09112960260874366
74,0.11097137800189412,0.11805460562278543,0.12106201116526888,0.11872325180811716,0.11950862036955517
75,0.09358707012653278,0.12840475647341032,0.12734095815425084,0.09116038543569972,0.11164309211063145
76,0.11435697214131313,0.10164770274839023,0.09600801861470099,0.10193686564665051,0.11286162446578936
77,0.11882593050244529,0.13070485250629404,0.12796430322450825,0.12002087797056017,0.12276906333033577
78,0.07586927733510064,0.11073072855070724,0.09879831288600177,0.09387928267631608,0.10582929024339016
79,0.13369235411624766,0.12810770845146124,0.13318166752506025,0.12213595570017906,0.1233667665453486
80,0.10594122174105758,0.07807955749967127,0.10038353368522107,0.12439448361106524,0.1108449962366093
81,0.11097491224177809,0.12523330477618783,0.12379824549940177,0.13112544988165228,0.12517581530104485
82,0.10679770774704482,0.120743483746886,0.1249876173920218,0.1252993294744707,0.12372909712381223
83,0.11674320225923013,0.10935377032922262,0.114284641994942,0.12408761551477494,0.11996080771148658
84,0.10962365526604965,0.09931293360256854,0.09337492616899301,0.11963178045263971,0.11979206103701479
85,0.11779516470074479,0.11945180884883817,0.12646794747244694,0.12580681279187766,0.12758773373172047
86,0.08037820064972608,0.11317315188143201,0.11224176734072243,0.12617663920460534,0.12859365770780182
87,0.13407093176663823,0.1201390936026473,0.1274771372434911,0.1218488530084942,0.12258713974538242
88,0.12253090571010233,0.11864204193230506,0.11823988102138054,0.11822629861869612,0.11903149597167578
89,0.08306950883209875,0.11750722444322759,0.11033342945342407,0.11951620335827808,0.11726529755997246
90,0.12012504484541016,0.09850103087487655,0.10034929795388216,0.09415300493467345,0.0973227276450656
91,0.10619646546295898,0.10767831616001694,0.11763265281086073,0.13018382675938614,0.12217334303411498
92,0.10513200908892645,0.11983134092915342,0.12127346852324306,0.10942075468913164,0.10780207651608881
93,0.12081798308853925,0.11366232315992204,0.12456348685588586,0.1127754084807081,0.11556931030954565
94,0.12423013325750391,0.1015983770155212,0.1306008702609546,0.11127602751523658,0.10030220004111867
95,0.12238071671854545,0.09800184045075137,0.11192865410199958,0.12444615360022519,0.11749057677639375
96,0.12622780724553265,0.12835048900385115,0.11961973544781869,0.11095914214530495,0.1232529541853219
97,0.12089049423135582,0.1194450816705211,0.11891476221605607,0.121919987761038,0.12258256217188616
98,0.11673831176289666,0.12257017424958039,0.12238578215878398,0.11962175898717282,0.11996997751351962
99,0.10426822145925592,0.08853913562427818,0.12031742123395532,0.1268188508712487,0.12230595596236664
