distribution,method,mean_mean_dcor,sd_mean_dcor,mean_p95_dcor,mean_max_dcor
a,Cholesky,0.1800114915751777,0.010458374730245835,0.23825491030612064,0.2817769853911734
a,Mixed,0.31207238648822533,0.022666120679962033,0.5575615964932232,0.6785312111654537
a,PCA,0.1798786130154953,0.010838359439707809,0.23530693624089408,0.289946748796993
a,PCA-cor,0.17977538483100658,0.010948519434897793,0.2375970226448226,0.2822755162013847
a,ZCA,0.18044821825499213,0.010969052940589684,0.23776795913119436,0.2854824636544377
a,ZCA-cor,0.18041089865783413,0.01082792334033505,0.2380263477782335,0.2846446685355523
b,Cholesky,0.1620735462832029,0.005129402526774975,0.2043838227609635,0.23102167413994854
b,Mixed,0.2981168926505488,0.0180765453466787,0.560366241386496,0.6870682115192674
b,PCA,0.16136905978534674,0.00489972359986011,0.20404737474714638,0.22746103595723874
b,PCA-cor,0.16182397260599202,0.004720928945413704,0.2036062466338086,0.22889392866293076
b,ZCA,0.16184017261224443,0.004770527959006642,0.20352607938008557,0.22711509777204053
b,ZCA-cor,0.161869061366742,0.0047842944736195435,0.20265741826210756,0.22737749585033853
c,Cholesky,0.1475094572731128,0.0032610322232303366,0.18307234198437047,0.20520472519426022
c,Mixed,0.2918383755800224,0.019342020232331694,0.5608883514839548,0.6872676607690691
c,PCA,0.147326121242671,0.003690931209460106,0.18386680196335997,0.2039937067315567
c,PCA-cor,0.14709285934200922,0.003700644359416226,0.18430370002966737,0.20198872672228926
c,ZCA,0.147516225521014,0.0034500221678648467,0.183753350085019,0.20374925280844686
c,ZCA-cor,0.14735445361945101,0.003513843759669033,0.18404801949959512,0.20391310360960166
d,Cholesky,0.16089589397398407,0.0050566467866111145,0.20215420278145044,0.2302731878358167
d,Mixed,0.2998550439243655,0.021508431710479916,0.555985239359821,0.666089010653085
d,PCA,0.16082167584305262,0.005513406474095245,0.20348729810491567,0.23112274331861504
d,PCA-cor,0.16075568805436957,0.005751166004561554,0.20455009323447457,0.2293660577634492
d,ZCA,0.16111039448494338,0.0053891016141850556,0.2039590958663118,0.2342520591705116
d,ZCA-cor,0.16104656556348895,0.005342930657081803,0.20372370094402567,0.23210878494661802
e,Cholesky,0.18798033400272118,0.00772009490898602,0.25525571826009824,0.28950852664737764
e,Mixed,0.3213058413667567,0.020331691357817597,0.5704834968306698,0.686394946436516
e,PCA,0.18814372193690168,0.00790001652948838,0.2569394891484576,0.29418236525396607
e,PCA-cor,0.18842840619745918,0.008245219502809983,0.25820953980024586,0.2985909429656681
e,ZCA,0.18903428691718577,0.007374395562197312,0.2566911366526032,0.2945222207913099
e,ZCA-cor,0.1889850976215616,0.006968098905508146,0.2566901714424882,0.2928340606805506
f,Cholesky,0.14786244943749194,0.0037394820191447254,0.18497806319490886,0.20358806029021395
f,Mixed,0.2943283443998385,0.01984388821688685,0.5554189682888044,0.6738525293221775
f,PCA,0.14802053373319615,0.003437030078218308,0.18387604340060185,0.20588012028285674
f,PCA-cor,0.14827738781466798,0.0043930212137401475,0.1844596652272394,0.20691817776295515
f,ZCA,0.14816552620634552,0.0037244214149279157,0.18497146140761353,0.20931688007361507
f,ZCA-cor,0.1481151387993045,0.0036421428041944937,0.18457151624876322,0.2099869814493175
g,Cholesky,0.14824864652783767,0.00419646489299108,0.1858716174682344,0.2072386749829356
g,Mixed,0.29715390421271565,0.020318464644907747,0.5642516350635719,0.6824400488900177
g,PCA,0.14820757421120362,0.004147790642637398,0.18533003890958055,0.20606693303817158
g,PCA-cor,0.14868163266337356,0.003976191744099226,0.1863556994702397,0.20896041291736536
g,ZCA,0.1483719808632561,0.003927950433708425,0.187491086879691,0.2108101166196224
g,ZCA-cor,0.14826442858306124,0.003872194200647889,0.18736277900054127,0.20956138496033044
h,Cholesky,0.14840420859888304,0.003656630875222933,0.18583717172378236,0.20699635724238402
h,Mixed,0.2952186910394608,0.01980951859843016,0.5613308836848462,0.6821628884087433
h,PCA,0.1482058794364141,0.003262498293829837,0.1840691037123587,0.2046110223180193
h,PCA-cor,0.14827626184372641,0.003474641135286448,0.18462543395349737,0.20700123835225478
h,ZCA,0.14901277714790617,0.003294036498353762,0.18627908662460477,0.2076269143790612
h,ZCA-cor,0.1489479521475837,0.0033014960080539105,0.18595558788919336,0.20839387394126535
i,Cholesky,0.14906233465975546,0.0036929715178013593,0.18699146720624665,0.2076456120577626
i,Mixed,0.2953705281796238,0.019942190917266477,0.5606102582654462,0.6827344585808859
i,PCA,0.14913624494566793,0.0033012973100801928,0.18441605328552227,0.20584268444306686
i,PCA-cor,0.14878790443604306,0.003748697535240896,0.18482874859766002,0.2078119717222103
i,ZCA,0.14969972296462503,0.0035396006343915674,0.1877662765960889,0.20995077511530524
i,ZCA-cor,0.14973043632826846,0.003571756180307752,0.18730042608707453,0.21001807604357378
j,Cholesky,0.16839391010987032,0.006107498080370741,0.22567888974319503,0.265804658465766
j,Mixed,0.3112624359160645,0.019747130631851472,0.5676632074100612,0.6916316950965882
j,PCA,0.16777445054341594,0.00573846013172884,0.2253065405203481,0.2675263511649002
j,PCA-cor,0.16762034638235915,0.005577192076777069,0.22563419126056963,0.26343543286927074
j,ZCA,0.16816009517657166,0.006085122338120069,0.22815587900804274,0.2657202818747187
j,ZCA-cor,0.1681892241319266,0.0061188225452195105,0.2264968202094041,0.26500219704676814
k,Cholesky,0.15123397030789218,0.0036875231334090614,0.18910424979702992,0.21239562997498262
k,Mixed,0.2974168566893858,0.02078571968551707,0.5616973187607864,0.6895027769120309
k,PCA,0.15145074874373965,0.003662702033410702,0.19032566382545013,0.21177186393314273
k,PCA-cor,0.15146910159423896,0.003740781707782666,0.1899462628369549,0.21275016330955093
k,ZCA,0.1511220539636068,0.0036571890659032355,0.1899704986030281,0.21457929944689966
k,ZCA-cor,0.15122676037827656,0.0037262233001170305,0.1908090539163924,0.21344969524123802
l,Cholesky,0.15048077316346245,0.0037107280798366143,0.1872804441719557,0.20948653915308862
l,Mixed,0.2966981422258464,0.020756920177872437,0.5602254585166064,0.6895523276967905
l,PCA,0.15083219179630056,0.0036732419437904267,0.1886435340772189,0.20989709335622922
l,PCA-cor,0.1508236521851744,0.0037567896671701017,0.18776641748796685,0.2102308803830791
l,ZCA,0.1504156634444133,0.0035160695851497014,0.18847909807987637,0.21051756917724485
l,ZCA-cor,0.15051247313856847,0.003626346118701022,0.18831683941879127,0.20983085172792568
m,Cholesky,0.1481129704027805,0.003756742849437382,0.18532297099232764,0.20742365168543775
m,Mixed,0.29568688923735,0.022202460232027238,0.5628088161197813,0.6813880226825685
m,PCA,0.14868772573939845,0.003970242387772617,0.18539034938071677,0.2062296620703784
m,PCA-cor,0.14847585405971706,0.003456064946213205,0.1842936793522853,0.20878360749903055
m,ZCA,0.1480489240420223,0.003529627082142902,0.18486607384319825,0.20693765932687694
m,ZCA-cor,0.1481037900090557,0.0037056477455494606,0.18496783609107192,0.20673374674317493
n,Cholesky,0.14842525650810587,0.003820000087624488,0.185870120874136,0.2081438886405359
n,Mixed,0.29479336756646685,0.0223851897613488,0.5601628679196536,0.6826580884866741
n,PCA,0.14951177730650375,0.003912105183635558,0.18732145080832216,0.2076063586575879
n,PCA-cor,0.14950188579838553,0.003665121773822246,0.1871137843845617,0.20852915100990937
n,ZCA,0.14814062434548403,0.0034581387052102217,0.18404407137326312,0.20628572428125508
n,ZCA-cor,0.1482875517669047,0.003562319385696847,0.18467241358751252,0.20657652353413244
o,Cholesky,0.1479232716111729,0.003726604077669091,0.18451136114419495,0.20810547117044473
o,Mixed,0.2945425315480687,0.022152482381884168,0.5611987896744594,0.683176922521663
o,PCA,0.14887130447437774,0.00389053030340004,0.18488812927133272,0.205844887862456
o,PCA-cor,0.14901043342142337,0.0035694171722013505,0.18635605601642652,0.20816989766345725
o,ZCA,0.1477603601632497,0.0035056199625043065,0.1841811170933435,0.20495928411977957
o,ZCA-cor,0.14781657248359348,0.0035313822026278217,0.18414494222825464,0.20524546869321317
p,Cholesky,0.14957984142018485,0.003927722543531049,0.18781905638880647,0.20733681376958718
p,Mixed,0.29716517602520803,0.022332048934610684,0.5647578195362404,0.6840686796971014
p,PCA,0.14934089351521906,0.003287966944759176,0.18713538781217826,0.2076121259023741
p,PCA-cor,0.14969308438578913,0.003643410814781346,0.18773799584493503,0.21029636029392382
p,ZCA,0.1500781883721614,0.0038344806733750024,0.18817042327566594,0.21016980986397116
p,ZCA-cor,0.14992790480841184,0.0036887209481265004,0.18876108434073746,0.2090807213097893
q,Cholesky,0.15013613728164482,0.0038736384733197623,0.1883912883423347,0.2108226641870691
q,Mixed,0.29688624581348827,0.022176722516503215,0.5570817909841124,0.6848217756620529
q,PCA,0.1509374488676139,0.0034777691753514373,0.18782884476745754,0.2081528360490356
q,PCA-cor,0.15100390483869533,0.003750273247407131,0.18936998463138,0.21160306932095171
q,ZCA,0.15028897873376929,0.0034250217318330216,0.1869018404865434,0.20713208067547206
q,ZCA-cor,0.1503316498959481,0.0034907910645722465,0.18727437419225826,0.2074789206434002
r,Cholesky,0.1498885859340198,0.003649752199526834,0.18826082465105054,0.2105285218506846
r,Mixed,0.29634499258323604,0.021841151857441482,0.5620782437505008,0.6852322317363021
r,PCA,0.1507151029132499,0.0037045866306659467,0.18788767707308213,0.21222651324327202
r,PCA-cor,0.15076068889409305,0.003668617891204632,0.18925266225574938,0.21148684459275835
r,ZCA,0.14982184633042178,0.003883675746669849,0.18803691919870005,0.20750525215493754
r,ZCA-cor,0.1498546149557992,0.0038281605227669982,0.1881006320191132,0.20809346667968245
